"city","tag","date","time","pit_notes"
986,112100172191,"2017-06-02","13:20:36",NULL
986,112100169967,"2017-06-02","13:09:26",NULL
986,112100167430,"2017-06-02","13:04:39",NULL
986,112100165131,"2017-06-02","12:59:59",NULL
986,112100164613,"2017-06-02","12:46:51",NULL
985,153000368798,"2017-06-02","12:27:33",NULL
986,112100163333,"2017-06-05","11:34:36",NULL
986,112100167849,"2017-05-30","15:14:36",NULL
982,"000411818460","2017-05-13","15:24:21",NULL
985,153000403830,"2017-05-30","15:10:08",NULL
982,"000411818636","2017-05-30","15:06:10",NULL
986,112100171774,"2017-05-30","15:00:36",NULL
982,"000411818669","2017-06-06","10:58:41",NULL
982,"000411818631","2017-05-30","14:40:14",NULL
982,"000411818544","2017-05-30","14:14:00",NULL
982,"000411818444","2017-05-30","14:09:34",NULL
985,153000402210,"2017-05-30","14:07:21",NULL
982,"000411818566","2017-05-30","13:57:34",NULL
985,153000356086,"2017-05-30","13:46:20",NULL
985,153000402210,"2017-05-30","13:43:38",NULL
982,"000411818591","2017-05-30","13:38:54",NULL
986,112100162846,"2017-06-05","15:41:26",NULL
985,153000356731,"2017-06-02","12:30:13",NULL
982,"000411818589","2017-05-30","11:57:00",NULL
982,"000411818624","2017-05-19","13:49:53",NULL
982,"000411818587","2017-05-30","11:36:58",NULL
982,"000411818552","2017-05-30","11:21:14",NULL
982,"000411818499","2017-05-30","11:11:54",NULL
982,"000411818549","2017-05-30","11:00:14",NULL
985,153000355002,"2017-05-30","10:49:22",NULL
982,"000411818555","2017-05-30","10:32:29",NULL
986,112100162775,"2017-06-11","10:01:43",NULL
986,112100172413,"2017-05-30","10:26:51",NULL
982,"000411818568","2017-05-30","10:18:38",NULL
982,"000411818569","2017-05-29","12:50:56",NULL
982,"000411818620","2017-05-29","12:28:23",NULL
985,153000401241,"2017-05-29","12:17:36",NULL
985,153000373100,"2017-06-04","15:34:26",NULL
982,"000411818480","2017-05-29","12:14:05",NULL
982,"000411818565","2017-05-29","11:54:08",NULL
982,"000411818576","2017-05-29","11:44:50",NULL
982,"000411818441","2017-05-29","11:39:08",NULL
982,"000411818610","2017-05-21","10:46:57",NULL
982,"000411818543","2017-05-29","11:23:27",NULL
982,"000411818615","2017-05-29","11:03:05",NULL
982,"000411818534","2017-05-29","10:58:44",NULL
985,153000404233,"2017-05-28","12:59:23",NULL
982,"000411818437","2017-05-28","12:33:27",NULL
982,"000411818500","2017-05-28","12:08:55",NULL
982,"000411818482","2017-05-28","11:54:41",NULL
986,112100165220,"2017-05-28","11:39:35",NULL
982,"000411818472","2017-05-28","10:07:06",NULL
986,112100173807,"2017-05-28","09:55:36",NULL
982,"000411818522","2017-05-28","09:27:06",NULL
986,112100174328,"2017-05-27","13:55:40",NULL
982,"000411818515","2017-05-15","10:20:42",NULL
982,"000411818584","2017-05-27","10:28:14",NULL
986,112100173251,"2017-05-27","10:21:14",NULL
986,112100163289,"2017-05-27","10:12:48",NULL
986,112100163513,"2017-05-27","10:05:39",NULL
985,153000402348,"2017-05-25","13:06:09",NULL
982,"000411818516","2017-05-25","12:09:02",NULL
986,112100166430,"2017-05-25","11:00:34",NULL
985,153000401829,"2017-05-22","13:27:04",NULL
986,112100177596,"2017-05-25","10:28:41",NULL
982,"000411818493","2017-05-22","14:54:36",NULL
985,153000407489,"2017-05-25","09:41:00",NULL
982,"000411818447","2017-05-25","08:56:24",NULL
985,153000402681,"2017-05-30","13:31:55",NULL
982,"000411818443","2017-05-25","08:42:22",NULL
985,153000407657,"2016-05-18","09:57:37",NULL
985,153000407635,"2016-05-14","15:15:39",NULL
985,153000407603,"2016-05-21","14:26:34",NULL
986,112100164754,"2017-06-10","13:39:48",NULL
986,112100171978,"2017-06-11","10:26:39",NULL
985,153000407544,"2016-05-18","14:17:18",NULL
