"ligation_id","digest_id","date",DNA,vol_in,water,barcode_num,"pool","well","plate","notes","regeno","total_reads","lack_rad_tag","low_quality","retained","correction","corr_message","corr_editor","corr_date"
"L1420","D1698","2015-05-22",200,12.9,9.3,22,"P035","F9","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1421","D1700","2015-05-22",200,7.9,14.3,23,"P035","G9","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1422","D1702","2015-05-22",200,8.8,13.4,24,"P035","H9","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1423","D1704","2015-05-22",200,7,15.2,25,"P035","A10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1424","D1707","2015-05-22",200,11.4,10.8,26,"P035","B10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1425","D1708","2015-05-22",200,5.1,17.1,27,"P035","C10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1426","D1710","2015-05-22",200,7.4,14.8,28,"P035","D10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1427","D1713","2015-05-22",200,20.9,1.3,29,"P035","E10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1428","D1725","2015-05-22",200,4.3,17.9,30,"P035","F10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1429","D1728","2015-05-22",200,20.2,2,31,"P035","G10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1430","D1729","2015-05-22",200,17.7,4.5,32,"P035","H10","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1431","D1730","2015-05-22",200,19.9,2.3,33,"P035","A11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1432","D1731","2015-05-22",200,13.5,8.7,34,"P035","B11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1433","D1734","2015-05-22",200,3.3,18.9,35,"P035","C11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1434","D1735","2015-05-22",200,19.3,2.9,36,"P035","D11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1435","D1736","2015-05-22",200,9.3,12.9,37,"P035","E11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1436","D1738","2015-05-22",200,13.5,8.7,38,"P035","F11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1437","D1741","2015-05-22",200,11.8,10.4,39,"P035","G11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1438","D1742","2015-05-22",200,18,4.2,40,"P035","H11","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1439","D1744","2015-05-22",200,9.1,13.1,41,"P035","A12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1440","D1745","2015-05-22",200,15.3,6.9,42,"P035","B12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1441","D1748","2015-05-22",200,8.6,13.6,43,"P035","C12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1442","D1749","2015-05-22",200,20.8,1.4,44,"P035","D12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1443","D1755","2015-05-22",200,5.9,16.3,45,"P035","E12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1444","D1759","2015-05-22",200,15.2,7,46,"P035","F12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1445","D1764","2015-05-22",200,10.1,12.1,47,"P035","G12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1446","D1767","2015-05-22",200,9,13.2,48,"P035","H12","L1351-L1446",NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1447","D1573","2015-08-31",60,16.9,5.3,1,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1448","D1545","2015-08-31",60,18,4.2,2,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1449","D1546","2015-08-31",60,19,3.2,3,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1450","D1564","2015-08-31",60,11.2,11,4,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1451","D1581","2015-08-31",60,10.3,11.9,5,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1452","D1562","2015-08-31",60,8.3,13.9,6,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1453","D1563","2015-08-31",60,16.8,5.4,7,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1454","D1572","2015-08-31",60,20.3,1.9,8,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1455","D1575","2015-08-31",60,13.2,9,9,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1456","D1583","2015-08-31",60,9.1,13.1,10,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1457","D1565","2015-08-31",60,8.6,13.6,11,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1458","D1567","2015-08-31",60,6.8,15.4,12,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
"L1459","D1568","2015-08-31",60,16.6,5.6,13,"P036",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,"","","","0000-00-00"
